#Δ (мм),Интенсивность
0.1,0.34256734418553075
0.10000900009000091,0.34234522331832967
0.10001800018000181,0.34212363460392353
0.10002700027000269,0.34190257723056283
0.1000360003600036,0.34168205038833016
0.1000450004500045,0.3414620532691105
0.1000540005400054,0.3412425850666048
0.10006300063000631,0.34102364497630205
0.10007200072000721,0.34080523219551967
0.1000810008100081,0.34058734592338286
0.100090000900009,0.34036998536080215
0.1000990009900099,0.3401531497105153
0.1001080010800108,0.3399368381770581
0.10011700117001171,0.3397210499667783
0.1001260012600126,0.3395057842878063
0.1001350013500135,0.3392910403500968
0.10014400144001441,0.3390768173653998
0.1001530015300153,0.33886311454726703
0.1001620016200162,0.3386499311110511
0.10017100171001711,0.33843726627390447
0.100180001800018,0.33822511925477905
0.1001890018900189,0.338013489274432
0.10019800198001981,0.3378023755553975
0.1002070020700207,0.33759177732202683
0.1002160021600216,0.33738169380046057
0.1002250022500225,0.3371721242186407
0.1002340023400234,0.336963067806283
0.1002430024300243,0.3367545237949168
0.10025200252002521,0.33654649141785675
0.10026100261002611,0.33633896991021545
0.100270002700027,0.33613195850887573
0.1002790027900279,0.33592545645252964
0.1002880028800288,0.33571946298165106
0.1002970029700297,0.335513977338501
0.10030600306003061,0.335308998767127
0.10031500315003151,0.3351045265133614
0.10032400324003239,0.33490055982482786
0.1003330033300333,0.334697097950913
0.1003420034200342,0.3344941401428057
0.1003510035100351,0.33429168565346895
0.10036000360003601,0.33408973373765216
0.10036900369003691,0.3338882836518643
0.1003780037800378,0.33368733465441114
0.1003870038700387,0.3334868860053689
0.1003960039600396,0.3332869369665954
0.1004050040500405,0.3330874868017035
0.10041400414004141,0.33288853477609853
0.10042300423004231,0.3326900801569512
0.1004320043200432,0.33249212221320923
0.10044100441004411,0.33229466021557097
0.100450004500045,0.3320976934365221
0.1004590045900459,0.331901221150309
0.10046800468004681,0.33170524263294404
0.1004770047700477,0.331509757162204
0.1004860048600486,0.33131476401762916
0.10049500495004951,0.3311202624805282
0.1005040050400504,0.33092625183395186
0.1005130051300513,0.33073273136272896
0.10052200522005221,0.3305397003534407
0.1005310053100531,0.3303471580944311
0.100540005400054,0.33015510387578145
0.10054900549005491,0.3299635369893459
0.10055800558005581,0.32977245672872524
0.1005670056700567,0.3295818623892781
0.1005760057600576,0.32939175326809517
0.1005850058500585,0.3292021286640342
0.1005940059400594,0.32901298787769456
0.10060300603006031,0.3288243302114217
0.10061200612006121,0.328636154969306
0.1006210062100621,0.3284484614571811
0.100630006300063,0.3282612489826286
0.1006390063900639,0.32807451685495287
0.1006480064800648,0.32788826438521534
0.10065700657006571,0.3277024908862092
0.10066600666006661,0.3275171956724639
0.1006750067500675,0.3273323780602496
0.1006840068400684,0.3271480373675525
0.1006930069300693,0.32696417291410795
0.1007020070200702,0.32678078402138205
0.10071100711007111,0.3265978700125523
0.10072000720007201,0.3264154302125412
0.1007290072900729,0.3262334639479917
0.1007380073800738,0.32605197054727675
0.1007470074700747,0.325870949340475
0.1007560075600756,0.3256903996594044
0.10076500765007651,0.3255103208375965
0.1007740077400774,0.3253307122103019
0.1007830078300783,0.3251515731144879
0.10079200792007921,0.32497290288883723
0.1008010080100801,0.32479470087374657
0.100810008100081,0.3246169664113306
0.10081900819008191,0.32443969884539764
0.1008280082800828,0.3242628975214825
0.1008370083700837,0.32408656178682743
0.10084600846008461,0.3239106909903639
0.1008550085500855,0.32373528448274475
0.1008640086400864,0.3235603416163202
0.1008730087300873,0.3233858617451473
0.1008820088200882,0.3232118442249662
0.1008910089100891,0.32303828841323173
0.10090000900009001,0.32286519366908994
0.10090900909009091,0.3226925593533817
0.1009180091800918,0.3225203848286411
0.1009270092700927,0.3223486694590941
0.1009360093600936,0.3221774126106564
0.1009450094500945,0.3220066136509382
0.10095400954009541,0.32183627194921927
0.10096300963009631,0.32166638687648186
0.1009720097200972,0.32149695780538545
0.1009810098100981,0.32132798411027735
0.100990009900099,0.32115946516716876
0.1009990099900999,0.3209914003537655
0.10100801008010081,0.3208237890494449
0.10101701017010171,0.3206566306352652
0.1010260102601026,0.3204899244939418
0.1010350103501035,0.32032367000987816
0.1010440104401044,0.32015786656914275
0.1010530105301053,0.31999251355947234
0.10106201062010621,0.31982761037027085
0.10107101071010711,0.3196631563926071
0.101080010800108,0.3194991510192189
0.10108901089010891,0.3193355936444898
0.1010980109801098,0.31917248366447953
0.1011070110701107,0.31900982047690074
0.10111601116011161,0.318847603481128
0.1011250112501125,0.3186858320781754
0.1011340113401134,0.31852450567072577
0.10114301143011431,0.31836362366310833
0.1011520115201152,0.3182031854613073
0.1011610116101161,0.3180431904729396
0.10117001170011701,0.317883638107284
0.1011790117901179,0.31772452777525884
0.1011880118801188,0.31756585888943045
0.10119701197011971,0.31740763086399126
0.10120601206012061,0.31724984311478827
0.1012150121501215,0.31709249505930126
0.1012240122401224,0.3169355861166462
0.1012330123301233,0.31677911570757306
0.1012420124201242,0.3166230832544646
0.10125101251012511,0.3164674881813392
0.10126001260012601,0.3163123299138296
0.10126901269012692,0.3161576078792107
0.1012780127801278,0.31600332150637805
0.1012870128701287,0.3158494702258557
0.1012960129601296,0.31569605346977536
0.10130501305013051,0.31554307067190374
0.10131401314013141,0.31539052126762107
0.1013230132301323,0.31523840469392955
0.1013320133201332,0.31508672038943153
0.1013410134101341,0.3149354677943575
0.101350013500135,0.3147846463505445
0.10135901359013591,0.31463425550143953
0.10136801368013681,0.3144842946920975
0.1013770137701377,0.3143347633691794
0.10138601386013861,0.3141856609809513
0.1013950139501395,0.3140369869772862
